gender,race/ethnicity,parental level of education,lunch,test preparation course,internet_access,extracurricular_activities,tutoring_support,study_method,parental_involvement,previous_term_score,attendance_rate,weekly_study_hours,sleep_hours_per_day,daily_screen_time_hours,past_failures,reading score,writing score,math score
male,group C,some college,free/reduced,none,yes,no,private_tutor,active_problem_solving,low,68,83.6,26.3,6.7,6.0,0,72,70,75
female,group B,some college,free/reduced,none,yes,no,none,group_study,medium,52,76.5,22.4,8.1,1.8,2,48,53,50
female,group C,some college,free/reduced,none,yes,yes,none,group_study,high,57,87.2,10.7,7.4,2.2,0,60,63,57
female,group D,some high school,standard,completed,no,yes,none,active_problem_solving,low,67,85.4,13.2,6.1,1.9,0,71,71,66
male,group E,high school,standard,completed,yes,no,private_tutor,group_study,high,76,96.2,14.9,7.2,3.9,1,95,95,94
male,group C,associate's degree,free/reduced,none,yes,yes,none,active_problem_solving,medium,87,87.1,12.3,5.7,1.8,0,96,89,95
male,group B,associate's degree,standard,none,no,no,none,spaced_repetition,high,79,75.7,22.6,6.7,3.5,0,80,80,86
female,group D,associate's degree,standard,completed,yes,yes,none,active_problem_solving,low,47,92.3,25.9,7.5,2.2,0,73,64,65
male,group C,bachelor's degree,standard,none,yes,yes,private_tutor,group_study,low,87,97.0,22.6,7.3,5.2,0,100,100,100
male,group B,high school,standard,completed,no,yes,peer_tutoring,active_problem_solving,low,60,76.1,14.7,4.8,6.9,0,50,52,58
male,group E,associate's degree,free/reduced,none,yes,yes,private_tutor,passive_reading,low,52,99.1,7.4,7.7,2.8,1,53,52,53
male,group B,associate's degree,standard,completed,no,yes,peer_tutoring,spaced_repetition,high,56,97.6,30.7,7.2,4.0,0,87,80,78
male,group B,some high school,standard,none,no,no,none,group_study,medium,78,97.8,9.6,4.8,4.1,0,74,71,75
male,group C,bachelor's degree,standard,completed,yes,no,none,active_problem_solving,medium,72,98.2,9.5,6.0,3.3,0,100,96,100
male,group C,associate's degree,standard,none,yes,yes,peer_tutoring,active_problem_solving,low,64,81.7,24.7,5.8,1.1,0,80,75,74
male,group D,associate's degree,free/reduced,none,yes,no,none,spaced_repetition,low,61,97.0,11.8,6.2,3.4,0,61,62,59
male,group C,high school,standard,none,yes,yes,none,passive_reading,medium,72,97.6,15.2,4.2,3.4,0,66,64,70
male,group D,high school,standard,none,yes,yes,none,group_study,medium,90,93.4,21.0,6.6,5.4,0,100,93,97
female,group B,some college,free/reduced,completed,yes,yes,none,group_study,medium,64,93.2,16.8,8.9,3.6,2,70,69,68
male,group D,associate's degree,standard,none,yes,yes,none,passive_reading,high,79,96.2,4.0,6.1,5.3,0,79,80,80
female,group D,high school,free/reduced,none,yes,no,none,group_study,medium,61,79.7,17.9,9.7,2.1,1,63,66,60
female,group C,some high school,free/reduced,none,yes,yes,peer_tutoring,spaced_repetition,low,61,97.0,11.6,6.1,2.2,1,60,64,65
male,group E,some college,free/reduced,completed,yes,no,none,passive_reading,medium,81,93.7,8.3,4.6,3.5,0,71,72,75
male,group D,some college,standard,none,yes,no,none,group_study,high,86,98.1,14.6,7.3,1.5,1,99,100,99
female,group C,high school,standard,none,yes,yes,peer_tutoring,group_study,high,60,97.5,6.5,6.9,1.0,0,74,68,71
female,group C,some college,standard,none,no,no,peer_tutoring,passive_reading,medium,75,98.4,17.0,6.3,2.6,0,90,85,81
female,group A,high school,free/reduced,completed,no,yes,peer_tutoring,spaced_repetition,medium,67,93.8,10.1,6.9,6.5,0,65,64,62
female,group B,some college,standard,none,yes,yes,none,spaced_repetition,high,63,93.5,12.9,7.1,3.0,0,85,78,75
male,group A,some college,standard,none,yes,yes,none,active_problem_solving,medium,71,88.4,16.5,6.0,4.2,0,76,81,75
female,group C,associate's degree,standard,completed,no,yes,none,active_problem_solving,medium,51,87.8,3.6,8.3,2.9,0,64,62,61
male,group C,associate's degree,free/reduced,completed,yes,no,none,active_problem_solving,high,46,92.2,15.7,7.4,1.5,0,66,63,59
female,group D,some college,standard,completed,yes,yes,peer_tutoring,group_study,high,75,98.3,17.0,7.6,0.5,0,100,94,93
male,group E,some high school,standard,none,yes,no,none,group_study,high,52,96.6,21.5,7.7,3.3,0,65,58,62
male,group D,some high school,free/reduced,completed,yes,yes,private_tutor,group_study,medium,66,90.3,11.3,5.5,2.3,0,71,72,72
female,group C,some college,standard,completed,no,yes,private_tutor,group_study,low,44,90.5,17.7,8.1,3.8,0,54,54,55
male,group C,associate's degree,free/reduced,none,yes,no,none,spaced_repetition,medium,64,89.8,12.8,5.7,3.9,0,66,64,71
female,group D,bachelor's degree,standard,completed,yes,yes,peer_tutoring,spaced_repetition,high,60,78.1,5.8,7.3,5.3,0,85,77,73
male,group B,high school,free/reduced,none,no,no,none,active_problem_solving,low,38,98.2,19.2,6.1,1.4,0,28,31,38
female,group D,some college,free/reduced,completed,yes,no,peer_tutoring,active_problem_solving,high,56,91.5,18.2,7.4,3.9,0,70,69,65
male,group C,some college,standard,none,yes,no,none,group_study,high,58,96.7,7.0,7.6,2.3,0,67,61,70
female,group B,high school,standard,none,yes,yes,none,spaced_repetition,medium,85,93.1,15.6,7.0,1.7,0,100,96,93
male,group C,high school,standard,none,yes,yes,none,spaced_repetition,high,65,97.3,10.4,8.3,0.9,0,78,77,79
male,group C,associate's degree,standard,completed,yes,no,none,spaced_repetition,medium,79,87.4,11.1,6.3,3.6,0,94,90,91
female,group A,master's degree,standard,completed,yes,yes,peer_tutoring,active_problem_solving,high,65,98.8,15.2,6.8,2.8,1,100,96,93
male,group C,master's degree,standard,completed,yes,no,none,spaced_repetition,medium,59,79.3,15.9,6.6,6.7,1,73,66,69
female,group E,master's degree,standard,none,yes,no,private_tutor,active_problem_solving,high,49,89.0,11.9,5.9,7.7,1,63,64,59
male,group B,some high school,standard,none,yes,no,none,active_problem_solving,medium,56,78.7,15.7,7.7,3.8,0,59,59,62
male,group C,associate's degree,free/reduced,completed,yes,no,private_tutor,spaced_repetition,medium,74,97.1,9.1,7.2,4.7,0,85,82,83
male,group E,bachelor's degree,standard,none,yes,no,none,spaced_repetition,high,62,82.2,8.0,7.1,9.7,0,66,65,67
male,group D,master's degree,standard,none,yes,yes,none,spaced_repetition,high,60,93.2,14.7,6.0,2.0,0,87,83,79
female,group E,bachelor's degree,standard,completed,no,no,none,active_problem_solving,medium,85,84.5,14.1,8.2,8.5,1,98,95,94
female,group D,bachelor's degree,standard,none,yes,no,none,spaced_repetition,medium,49,97.4,7.2,7.8,2.5,1,55,58,58
male,group D,high school,free/reduced,none,no,no,none,spaced_repetition,high,42,87.8,21.7,7.2,0.9,0,35,41,45
female,group E,some college,standard,completed,yes,no,none,active_problem_solving,medium,58,95.6,13.2,8.5,2.7,1,80,78,66
male,group D,associate's degree,standard,none,no,yes,peer_tutoring,active_problem_solving,low,53,80.6,13.0,7.7,0.5,1,55,51,54
male,group B,some high school,standard,none,yes,no,private_tutor,spaced_repetition,high,88,88.7,15.8,8.6,2.5,0,100,98,96
male,group C,associate's degree,standard,none,no,no,none,group_study,medium,56,91.8,14.3,7.7,5.1,1,46,48,55
male,group C,bachelor's degree,free/reduced,none,yes,yes,private_tutor,spaced_repetition,low,60,78.6,19.9,7.7,2.9,0,70,67,69
female,group C,some college,free/reduced,none,yes,no,none,group_study,medium,86,78.2,21.0,6.9,6.9,0,87,81,80
female,group C,high school,free/reduced,none,yes,no,none,group_study,medium,77,96.4,6.6,5.4,1.5,1,66,67,68
male,group C,associate's degree,free/reduced,completed,yes,yes,none,group_study,low,66,76.2,2.8,9.7,1.3,0,56,62,71
male,group C,some college,standard,completed,yes,no,none,spaced_repetition,low,81,93.5,9.0,6.9,1.6,1,89,89,94
female,group D,associate's degree,free/reduced,completed,no,yes,none,group_study,medium,65,92.1,14.0,5.7,3.2,1,70,71,72
male,group A,some high school,standard,completed,no,no,none,active_problem_solving,medium,77,93.6,11.6,7.6,1.1,0,91,85,88
male,group C,associate's degree,free/reduced,none,yes,yes,none,active_problem_solving,medium,72,84.6,8.6,9.6,4.0,0,69,70,72
male,group D,some high school,standard,completed,yes,yes,private_tutor,active_problem_solving,medium,67,86.4,15.5,7.2,1.7,0,94,90,90
female,group B,some high school,free/reduced,completed,yes,yes,none,spaced_repetition,medium,68,93.5,9.9,6.1,2.0,0,78,77,70
male,group C,high school,free/reduced,none,yes,no,none,group_study,medium,75,84.7,30.5,7.3,1.9,0,78,74,77
male,group C,master's degree,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,60,85.6,17.7,6.0,2.4,0,67,67,66
female,group E,high school,free/reduced,none,yes,no,peer_tutoring,group_study,medium,82,89.5,17.5,6.0,1.6,0,85,87,81
male,group D,associate's degree,free/reduced,completed,yes,yes,none,group_study,high,48,92.9,12.7,7.5,3.5,0,50,49,47
female,group D,some high school,standard,none,no,no,private_tutor,passive_reading,high,64,94.4,14.7,9.9,2.4,0,71,66,63
male,group C,associate's degree,free/reduced,none,yes,no,none,passive_reading,low,67,93.1,4.1,5.9,4.1,0,49,54,54
male,group E,master's degree,free/reduced,none,yes,yes,none,spaced_repetition,medium,59,95.5,11.5,7.4,2.9,1,59,63,65
male,group C,associate's degree,free/reduced,none,yes,yes,private_tutor,group_study,low,86,85.1,11.4,7.2,2.6,0,93,93,89
female,group A,bachelor's degree,free/reduced,none,yes,yes,private_tutor,spaced_repetition,medium,65,85.9,12.3,6.7,1.6,0,73,73,70
female,group E,some high school,standard,completed,yes,no,none,group_study,high,44,85.1,10.4,9.6,2.0,1,47,48,43
female,group B,some college,standard,completed,yes,yes,none,passive_reading,low,72,93.0,13.9,6.3,5.9,0,86,81,76
female,group D,some college,free/reduced,none,yes,yes,none,passive_reading,medium,75,84.6,9.0,6.8,2.5,0,73,76,70
male,group D,some college,standard,completed,yes,yes,none,active_problem_solving,medium,59,89.8,17.6,7.8,2.6,2,67,61,73
female,group B,bachelor's degree,standard,none,no,yes,private_tutor,active_problem_solving,high,50,98.3,20.2,8.1,1.7,1,75,72,69
female,group B,associate's degree,standard,none,yes,yes,none,active_problem_solving,high,82,91.1,9.5,8.6,3.0,0,100,100,88
male,group C,associate's degree,standard,completed,yes,yes,none,passive_reading,high,72,96.7,16.7,8.1,1.6,0,89,83,83
male,group E,some college,standard,completed,yes,yes,none,group_study,medium,78,90.5,9.7,6.3,4.3,0,85,81,83
male,group A,some high school,standard,none,yes,no,none,spaced_repetition,low,58,99.0,25.3,8.5,2.0,2,53,61,56
male,group C,associate's degree,standard,completed,no,no,peer_tutoring,group_study,high,79,92.3,17.6,6.3,2.9,0,100,92,95
female,group B,high school,standard,none,yes,yes,peer_tutoring,spaced_repetition,high,69,96.8,12.5,7.4,4.1,0,96,92,86
male,group A,bachelor's degree,standard,none,yes,no,none,group_study,medium,62,99.2,7.0,6.6,4.5,1,65,63,63
female,group B,high school,free/reduced,completed,no,no,private_tutor,group_study,medium,40,95.8,28.6,6.5,3.9,2,49,46,47
male,group B,associate's degree,standard,none,no,yes,peer_tutoring,group_study,low,68,90.7,11.9,6.9,6.7,0,68,66,61
male,group E,associate's degree,standard,completed,yes,no,peer_tutoring,active_problem_solving,high,78,99.0,10.2,8.1,1.2,0,100,100,98
male,group C,high school,standard,completed,yes,yes,none,group_study,high,68,84.0,38.0,6.9,3.2,0,89,86,82
male,group B,some college,standard,none,yes,no,none,active_problem_solving,high,33,94.2,31.8,7.0,6.2,0,41,42,39
female,group D,associate's degree,standard,completed,yes,yes,none,group_study,high,62,97.1,17.0,7.1,1.8,0,88,92,82
female,group C,associate's degree,standard,completed,yes,yes,none,active_problem_solving,high,55,86.1,24.4,8.0,2.6,1,81,74,70
female,group B,high school,standard,none,yes,yes,none,group_study,medium,67,96.8,16.3,7.2,6.3,2,75,74,76
male,group D,some high school,free/reduced,none,yes,no,private_tutor,group_study,medium,82,95.0,11.7,6.3,4.1,0,88,90,85
male,group C,some high school,standard,none,yes,no,peer_tutoring,passive_reading,high,79,89.6,13.2,8.1,4.0,0,84,82,82
male,group B,some college,standard,none,yes,yes,none,active_problem_solving,medium,33,93.8,13.2,5.9,5.6,1,32,35,34
female,group C,bachelor's degree,standard,completed,yes,no,none,active_problem_solving,high,77,92.4,6.4,8.0,4.3,0,100,96,96
male,group D,associate's degree,standard,completed,yes,no,peer_tutoring,spaced_repetition,low,80,77.5,10.1,7.1,2.6,0,100,98,96
male,group D,associate's degree,free/reduced,none,yes,yes,none,spaced_repetition,high,79,96.9,15.7,6.5,2.5,0,86,79,83
female,group C,high school,standard,none,no,yes,private_tutor,passive_reading,medium,54,86.2,12.7,7.0,3.1,0,51,52,54
female,group C,some college,free/reduced,completed,yes,no,peer_tutoring,spaced_repetition,medium,58,90.4,18.1,10.0,1.9,0,65,68,65
female,group A,some high school,free/reduced,none,yes,no,none,active_problem_solving,medium,85,93.1,11.8,6.3,3.8,0,95,94,97
female,group C,some high school,standard,none,yes,yes,none,group_study,medium,62,99.7,11.9,4.9,1.0,0,70,67,65
female,group B,associate's degree,standard,completed,yes,no,private_tutor,spaced_repetition,medium,77,86.1,14.8,6.4,3.1,0,100,100,95
female,group C,master's degree,free/reduced,none,yes,no,none,spaced_repetition,medium,52,95.6,20.3,6.6,2.1,0,72,69,64
male,group D,bachelor's degree,free/reduced,completed,yes,no,none,spaced_repetition,medium,61,91.9,12.5,7.3,4.0,0,71,66,73
female,group B,master's degree,standard,none,yes,yes,peer_tutoring,active_problem_solving,medium,67,89.5,13.7,6.4,2.9,0,91,94,83
male,group E,some high school,standard,completed,yes,yes,none,passive_reading,medium,45,89.8,8.1,6.0,6.2,1,35,32,36
male,group B,some college,standard,completed,yes,yes,none,group_study,medium,53,89.8,7.3,7.0,1.5,0,57,59,62
male,group C,associate's degree,standard,completed,yes,no,private_tutor,spaced_repetition,high,60,98.7,29.9,6.7,2.2,0,96,88,88
female,group C,master's degree,free/reduced,completed,yes,yes,peer_tutoring,passive_reading,medium,54,82.3,18.4,6.8,0.9,0,64,60,61
female,group D,bachelor's degree,standard,completed,yes,no,none,spaced_repetition,low,93,91.8,12.3,6.7,3.0,1,100,98,100
female,group C,high school,standard,none,yes,yes,private_tutor,spaced_repetition,high,86,88.9,10.6,5.8,10.0,0,97,97,100
male,group D,associate's degree,free/reduced,none,yes,no,peer_tutoring,active_problem_solving,medium,60,97.9,15.1,8.4,1.6,1,64,64,57
female,group A,some high school,standard,completed,yes,no,none,active_problem_solving,high,87,91.1,12.1,7.0,5.6,2,100,100,89
female,group A,some college,free/reduced,none,yes,no,none,active_problem_solving,medium,76,97.0,10.8,6.4,1.9,0,89,84,85
female,group B,some college,standard,none,yes,no,none,passive_reading,high,77,91.2,15.8,8.4,1.7,0,89,85,83
male,group C,master's degree,standard,none,yes,no,private_tutor,active_problem_solving,high,48,89.9,25.3,7.2,0.9,2,69,68,64
male,group C,associate's degree,standard,completed,yes,yes,none,spaced_repetition,low,65,89.6,5.2,8.5,3.3,1,71,68,73
female,group D,some college,free/reduced,none,yes,yes,peer_tutoring,spaced_repetition,high,58,98.6,20.0,7.6,1.5,1,64,67,63
female,group B,some high school,free/reduced,none,no,no,none,group_study,high,72,84.4,8.4,5.7,1.7,0,66,64,64
female,group D,bachelor's degree,standard,none,yes,no,peer_tutoring,passive_reading,medium,73,90.6,20.3,8.3,5.8,1,84,86,83
male,group C,some college,free/reduced,none,yes,no,none,group_study,low,64,92.1,6.1,5.6,2.2,0,60,58,62
male,group C,some high school,free/reduced,none,yes,yes,peer_tutoring,spaced_repetition,high,69,86.9,23.5,8.1,1.3,1,73,71,70
male,group C,master's degree,standard,completed,no,yes,peer_tutoring,spaced_repetition,low,51,97.6,11.9,6.1,4.6,0,62,62,63
male,group E,some high school,standard,completed,yes,yes,peer_tutoring,spaced_repetition,medium,70,97.6,11.8,7.4,3.1,0,92,89,81
male,group D,associate's degree,free/reduced,none,yes,no,none,spaced_repetition,medium,78,94.3,12.7,5.4,1.9,0,80,79,81
female,group B,associate's degree,standard,none,yes,yes,none,spaced_repetition,low,51,97.8,15.6,6.8,6.8,0,56,58,54
female,group E,some college,standard,completed,yes,no,none,active_problem_solving,medium,51,91.4,13.4,5.4,2.6,1,68,72,59
male,group C,high school,standard,none,no,no,peer_tutoring,passive_reading,medium,61,91.0,10.7,7.8,3.0,0,58,64,57
male,group C,some high school,standard,none,yes,yes,none,spaced_repetition,low,62,94.1,28.9,7.0,6.2,1,70,72,70
male,group D,some high school,standard,completed,yes,no,peer_tutoring,passive_reading,high,64,95.4,9.3,6.0,2.2,0,77,74,73
male,group D,some college,free/reduced,none,no,no,peer_tutoring,active_problem_solving,low,60,95.5,9.5,8.7,3.4,0,54,50,59
female,group E,some high school,standard,none,yes,yes,peer_tutoring,spaced_repetition,low,64,98.9,5.6,7.2,2.3,0,73,66,73
male,group D,high school,standard,none,yes,yes,none,spaced_repetition,high,82,95.9,24.8,6.8,1.0,1,91,87,85
male,group B,associate's degree,free/reduced,none,no,no,peer_tutoring,active_problem_solving,high,66,81.2,23.1,6.0,1.5,0,72,65,71
male,group C,associate's degree,free/reduced,none,yes,no,peer_tutoring,spaced_repetition,low,62,97.3,7.7,8.5,4.7,0,55,56,64
female,group D,associate's degree,standard,none,yes,yes,none,active_problem_solving,medium,56,83.3,5.0,9.2,3.7,1,58,61,59
female,group D,associate's degree,free/reduced,completed,yes,yes,none,spaced_repetition,medium,56,84.0,17.1,8.2,4.7,0,63,63,61
female,group B,some high school,standard,none,yes,yes,private_tutor,active_problem_solving,medium,74,96.9,21.5,8.2,2.9,0,100,96,90
male,group C,associate's degree,standard,none,yes,yes,none,passive_reading,medium,67,91.4,16.9,7.3,7.6,0,64,65,64
male,group B,high school,standard,none,no,no,none,spaced_repetition,low,49,96.3,9.5,8.0,5.7,0,38,40,40
female,group E,associate's degree,free/reduced,none,yes,no,none,group_study,high,51,79.8,10.1,5.3,2.2,0,50,52,52
female,group D,high school,free/reduced,completed,yes,no,none,group_study,medium,87,97.4,10.3,5.4,3.0,0,92,95,88
male,group D,high school,standard,none,yes,yes,none,spaced_repetition,medium,69,93.5,8.2,6.1,3.1,0,70,67,68
male,group C,high school,standard,none,no,no,none,spaced_repetition,low,93,90.8,18.1,5.5,4.0,0,93,97,96
male,group D,high school,free/reduced,none,yes,no,none,group_study,medium,66,84.5,22.1,6.8,1.6,0,59,59,64
male,group A,some college,free/reduced,completed,yes,no,peer_tutoring,group_study,high,50,90.3,10.3,7.5,3.6,1,61,57,57
male,group D,bachelor's degree,standard,completed,yes,no,none,active_problem_solving,high,53,97.0,16.2,7.7,3.1,0,83,81,78
female,group D,some college,free/reduced,completed,no,no,none,active_problem_solving,high,78,95.5,8.8,5.7,5.4,0,86,80,82
female,group D,some college,standard,none,no,yes,none,group_study,medium,69,93.5,10.4,5.2,3.0,0,60,65,63
male,group D,associate's degree,standard,none,yes,yes,private_tutor,spaced_repetition,high,68,83.4,19.2,7.6,1.9,0,90,82,82
female,group D,high school,standard,completed,yes,yes,none,group_study,medium,100,96.9,7.2,5.7,2.5,0,100,100,100
male,group D,master's degree,free/reduced,none,yes,no,none,spaced_repetition,high,67,99.0,17.3,6.2,3.1,2,81,75,72
female,group B,some college,free/reduced,completed,yes,no,none,active_problem_solving,medium,64,84.3,9.1,6.4,5.2,0,81,80,66
male,group D,some high school,standard,completed,yes,no,none,group_study,low,85,82.9,7.7,7.3,2.4,0,85,82,88
female,group E,bachelor's degree,standard,none,no,yes,peer_tutoring,passive_reading,high,76,80.1,13.0,6.4,6.4,0,89,89,84
male,group C,associate's degree,free/reduced,completed,yes,no,none,passive_reading,low,73,97.4,8.8,7.1,2.5,0,78,74,77
female,group C,bachelor's degree,free/reduced,completed,no,yes,none,active_problem_solving,low,78,94.7,12.2,6.5,4.9,0,98,93,97
female,group E,some college,standard,completed,no,yes,none,active_problem_solving,high,78,86.1,13.9,8.8,5.3,0,99,92,87
female,group B,high school,free/reduced,completed,yes,no,none,passive_reading,low,69,91.7,7.7,7.6,1.5,1,69,66,64
male,group C,some high school,free/reduced,none,yes,yes,none,active_problem_solving,high,52,79.9,9.5,8.1,3.1,1,44,43,45
male,group E,high school,free/reduced,none,yes,no,none,active_problem_solving,high,69,83.7,18.6,8.0,3.4,0,72,71,73
female,group C,bachelor's degree,free/reduced,none,yes,no,none,group_study,high,66,94.8,11.3,8.0,2.2,0,79,78,75
female,group B,associate's degree,standard,none,yes,yes,none,group_study,high,55,97.4,6.9,8.0,4.2,0,73,72,72
female,group D,bachelor's degree,standard,none,yes,yes,none,active_problem_solving,medium,80,93.5,8.7,8.9,4.4,0,100,97,86
female,group C,some high school,standard,none,yes,yes,none,active_problem_solving,medium,79,96.2,17.3,7.0,8.1,0,88,82,86
male,group C,some college,standard,none,yes,no,peer_tutoring,spaced_repetition,low,67,97.7,11.3,7.6,4.0,0,84,81,81
male,group C,some high school,standard,none,no,no,none,passive_reading,high,71,92.4,14.3,8.0,2.2,0,67,65,68
female,group D,associate's degree,free/reduced,completed,yes,no,none,passive_reading,low,75,95.7,8.3,8.3,3.4,1,81,83,78
female,group D,associate's degree,standard,completed,yes,yes,none,spaced_repetition,medium,63,96.4,12.2,5.5,0.8,0,85,78,74
female,group A,some high school,standard,completed,yes,no,peer_tutoring,active_problem_solving,medium,60,98.7,11.0,7.6,2.9,0,79,80,75
female,group E,associate's degree,standard,completed,yes,no,private_tutor,active_problem_solving,high,65,97.8,12.8,6.3,1.3,0,95,97,92
female,group A,some college,free/reduced,none,yes,yes,none,active_problem_solving,low,75,94.9,7.0,6.7,2.8,0,83,79,81
female,group C,high school,free/reduced,completed,yes,no,peer_tutoring,spaced_repetition,high,70,96.8,30.0,9.0,1.2,0,97,95,84
female,group D,high school,standard,none,no,no,private_tutor,group_study,medium,64,95.2,16.0,7.0,1.4,0,82,77,79
female,group E,master's degree,free/reduced,completed,yes,yes,none,spaced_repetition,medium,60,97.9,11.1,7.8,4.0,1,85,80,72
female,group D,high school,free/reduced,completed,no,no,private_tutor,group_study,high,58,94.9,3.4,4.9,2.9,0,59,59,63
female,group B,associate's degree,free/reduced,completed,yes,no,none,active_problem_solving,medium,65,97.3,13.5,8.2,0.6,0,89,79,77
male,group E,high school,free/reduced,completed,yes,yes,private_tutor,spaced_repetition,low,66,97.6,10.1,7.6,4.5,0,74,73,77
female,group E,master's degree,standard,completed,yes,yes,peer_tutoring,active_problem_solving,low,71,93.2,12.6,7.4,1.3,1,100,91,92
male,group D,some college,standard,none,yes,no,none,active_problem_solving,low,80,93.2,21.0,6.7,2.2,1,83,84,81
female,group D,bachelor's degree,standard,none,yes,yes,none,active_problem_solving,low,53,97.5,19.8,7.4,1.5,0,87,80,78
male,group C,some high school,standard,none,no,no,peer_tutoring,group_study,high,60,97.2,15.8,6.6,2.8,0,54,52,64
male,group E,associate's degree,standard,none,yes,yes,peer_tutoring,spaced_repetition,low,78,88.6,30.1,8.1,0.9,0,93,92,93
male,group D,some high school,standard,completed,no,no,peer_tutoring,spaced_repetition,low,65,93.4,8.0,7.3,0.8,0,76,68,70
female,group D,some high school,standard,none,yes,no,peer_tutoring,spaced_repetition,medium,72,83.9,16.3,7.7,1.2,0,74,71,70
female,group C,some high school,standard,none,no,yes,peer_tutoring,group_study,low,62,88.7,10.8,8.5,3.7,0,63,64,64
male,group B,some high school,standard,none,yes,no,none,spaced_repetition,medium,62,92.2,28.1,7.7,1.5,0,71,70,72
female,group C,master's degree,standard,completed,no,no,private_tutor,group_study,high,62,96.6,6.2,6.4,1.4,0,87,82,81
female,group C,some high school,standard,none,yes,yes,peer_tutoring,group_study,low,52,91.9,13.4,5.5,3.4,0,57,60,53
female,group C,some high school,standard,completed,no,yes,none,active_problem_solving,low,91,92.2,22.8,7.4,4.5,0,100,100,100
male,group C,some high school,free/reduced,none,no,no,peer_tutoring,group_study,medium,47,93.2,25.8,6.4,5.2,0,41,45,42
female,group B,high school,free/reduced,none,no,yes,peer_tutoring,active_problem_solving,low,67,89.0,6.5,7.8,0.5,0,69,67,62
male,group C,master's degree,standard,none,no,yes,peer_tutoring,passive_reading,medium,73,92.5,7.2,7.6,3.9,0,78,75,77
male,group A,high school,free/reduced,none,yes,no,none,group_study,medium,66,95.4,12.8,7.2,3.6,0,64,67,63
female,group D,associate's degree,free/reduced,none,yes,no,peer_tutoring,group_study,high,71,91.3,9.8,7.9,2.7,0,79,80,75
female,group A,high school,standard,none,yes,yes,none,group_study,medium,64,98.6,24.0,7.5,2.6,0,80,74,69
female,group C,some high school,standard,none,yes,yes,none,active_problem_solving,low,64,98.3,17.1,6.8,1.5,0,72,73,66
male,group E,some college,standard,none,yes,yes,none,active_problem_solving,medium,74,97.0,11.0,7.0,4.8,1,87,82,76
female,group C,some high school,standard,none,yes,no,none,active_problem_solving,high,62,99.6,14.6,7.7,6.4,0,70,65,62
male,group C,associate's degree,free/reduced,none,yes,no,private_tutor,passive_reading,high,59,92.9,27.5,8.9,0.8,1,71,65,69
