Hours_Studied,Previous_Score,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
8,58,No,5,1,49.3
5,81,Yes,5,7,68.6
4,66,No,4,5,51.4
2,96,No,8,7,77.0
6,73,No,8,7,64.9
6,43,Yes,4,0,27.5
1,95,No,8,6,75.5
9,77,Yes,9,1,76.8
6,46,Yes,9,7,39.1
3,87,No,9,1,73.6
4,46,Yes,9,3,28.6
4,89,No,7,1,73.4
3,91,No,5,6,73.5
3,65,No,4,4,45.4
3,65,No,7,8,47.6
4,93,No,9,4,79.3
7,58,No,4,7,50.4
4,48,No,5,1,30.7
9,59,Yes,8,2,55.1
1,81,Yes,7,5,58.8
8,84,No,5,6,76.1
7,89,No,4,9,79.8
2,55,Yes,6,7,35.0
8,93,No,7,2,90.8
1,56,Yes,4,6,30.1
9,61,Yes,4,7,57.1
9,52,No,5,9,48.8
2,51,No,4,5,27.6
7,49,Yes,7,3,39.2
3,40,Yes,9,5,21.9
7,71,No,7,8,69.2
9,69,No,4,2,63.0
4,47,Yes,5,1,27.8
1,60,Yes,7,4,34.1
2,61,Yes,6,6,38.1
1,57,No,9,2,32.3
5,41,No,8,4,28.6
5,87,No,5,3,72.8
7,83,Yes,5,6,75.1
9,48,Yes,8,1,45.0
9,42,No,8,6,43.3
3,93,Yes,7,1,71.5
3,65,Yes,4,2,45.2
3,60,Yes,4,4,40.2
4,69,Yes,6,6,56.9
8,67,Yes,9,5,63.7
6,75,No,4,6,60.7
8,65,No,6,5,60.3
1,73,No,6,0,49.4
8,47,No,5,4,43.4
4,49,No,5,0,29.9
1,87,Yes,9,6,66.0
8,94,Yes,7,3,89.7
4,82,Yes,8,4,63.3
6,89,No,8,0,80.3
8,93,Yes,9,7,88.7
4,53,Yes,6,3,35.0
3,79,Yes,9,2,61.2
9,94,No,8,0,91.8
3,54,Yes,6,3,39.3
9,56,Yes,8,2,58.8
2,92,No,7,7,71.9
2,57,No,5,8,34.0
2,71,Yes,5,4,49.3
6,77,No,6,8,69.3
3,62,Yes,9,0,44.6
9,85,No,8,6,82.1
4,62,Yes,4,6,44.2
1,74,Yes,7,5,50.3
4,78,No,8,3,62.5
1,54,No,4,8,26.0
5,92,No,7,2,79.6
4,63,No,7,0,45.8
8,67,Yes,5,1,60.5
8,55,No,6,2,48.0
7,55,Yes,8,1,49.9
3,79,Yes,7,5,62.5
1,78,Yes,8,6,54.5
1,45,No,7,4,20.9
3,41,Yes,9,4,23.5
6,93,Yes,5,6,82.8
7,52,No,6,5,41.5
6,83,Yes,4,7,70.8
6,86,Yes,4,8,75.4
6,98,Yes,9,1,91.5
3,48,No,5,1,29.9
6,73,Yes,7,0,62.3
8,56,Yes,5,6,53.9
2,66,Yes,6,3,43.6
5,68,No,4,8,52.9
1,76,No,8,5,54.8
1,82,No,4,6,53.0
5,61,Yes,6,6,47.9
3,90,Yes,7,7,73.6
4,63,Yes,5,3,42.5
3,46,Yes,4,2,21.1
1,73,Yes,4,2,51.4
1,87,No,8,9,67.7
5,51,Yes,5,7,37.5
6,62,Yes,8,2,51.6
3,54,No,8,7,37.2
9,72,No,7,1,74.5
5,96,Yes,4,4,81.8
8,52,No,9,4,50.4
1,62,No,5,6,37.6
5,77,No,7,4,64.5
3,71,Yes,9,8,55.9
1,84,No,7,2,60.5
4,89,Yes,7,8,78.8
5,74,No,6,0,59.7
7,40,Yes,6,2,33.5
1,86,Yes,7,3,68.9
3,97,Yes,6,5,76.9
2,84,No,5,9,62.2
9,44,No,4,7,35.5
6,96,No,9,6,86.7
3,52,Yes,5,7,36.5
8,93,No,4,5,88.0
8,44,No,6,5,38.7
2,99,Yes,9,5,78.7
6,71,No,5,2,54.7
7,90,Yes,8,9,86.0
2,60,No,7,3,38.3
2,63,Yes,4,5,42.2
1,99,Yes,4,6,78.5
8,57,No,8,2,51.2
1,60,Yes,8,3,38.8
9,93,No,7,5,92.0
6,49,No,6,0,40.1
7,63,No,5,6,54.8
7,79,No,5,0,69.7
3,86,Yes,5,9,70.5
2,60,Yes,6,8,41.1
9,64,Yes,7,9,64.9
8,91,No,5,8,86.7
7,99,No,4,8,88.8
9,96,Yes,4,3,93.4
4,98,Yes,4,1,80.9
4,62,No,8,6,45.2
1,61,No,8,3,36.6
8,43,No,6,4,38.2
3,73,Yes,5,0,49.0
7,95,No,8,9,97.2
2,45,Yes,4,5,25.1
2,67,No,8,6,46.6
7,70,Yes,4,2,61.0
6,74,No,5,9,66.0
3,78,Yes,6,1,59.1
9,81,Yes,7,9,79.5
6,62,Yes,7,6,50.7
6,45,No,4,0,30.3
1,55,Yes,8,1,31.9
4,41,Yes,8,2,24.5
6,63,No,4,3,52.6
6,56,Yes,5,4,44.5
5,84,Yes,4,3,69.8
1,40,No,5,9,13.6
8,45,Yes,6,2,38.4
5,44,No,6,0,31.2
5,96,Yes,4,6,82.5
7,84,No,6,9,74.1
4,99,Yes,8,5,91.3
6,94,Yes,5,1,77.4
4,89,Yes,7,1,72.4
3,68,No,7,2,52.1
7,51,Yes,6,7,38.2
8,78,Yes,5,7,71.7
4,86,No,8,9,69.0
2,42,No,7,9,24.3
3,87,No,8,9,68.5
1,40,Yes,8,9,21.1
8,66,Yes,7,7,66.9
3,87,Yes,7,6,69.0
7,63,No,6,1,50.8
5,83,No,5,0,69.1
5,58,Yes,4,5,42.3
7,98,Yes,5,7,90.6
9,47,No,4,0,39.7
5,94,No,7,2,85.6
1,83,No,8,0,62.9
1,86,Yes,5,9,65.9
2,41,No,8,8,17.4
6,69,No,5,6,62.0
9,69,No,9,7,68.1
8,88,No,5,8,85.6
5,78,Yes,8,2,63.2
1,84,No,9,9,65.1
7,71,Yes,6,1,61.4
5,40,Yes,7,5,26.0
6,77,No,6,4,67.9
7,52,No,6,3,42.5
3,50,Yes,5,5,31.5
3,49,No,7,5,25.0
5,87,Yes,9,2,81.7
6,98,No,5,1,87.9
9,65,Yes,4,8,61.6
5,95,Yes,5,7,83.4
1,94,Yes,9,3,75.1
4,59,No,8,5,46.1
5,56,Yes,5,2,41.4
5,56,Yes,4,7,40.6
7,43,No,5,2,35.3
4,44,No,9,1,29.0
1,99,Yes,4,6,73.9
5,62,Yes,7,2,50.6
7,85,No,9,8,81.5
6,91,Yes,5,2,79.7
5,49,No,4,7,33.4
4,85,No,9,1,70.2
2,67,No,7,8,46.7
4,72,Yes,8,0,56.5
3,82,No,6,2,59.1
1,65,Yes,4,1,40.2
8,94,Yes,8,6,90.6
5,89,No,7,4,73.5
4,87,No,8,7,73.8
8,68,No,5,1,63.8
7,66,No,6,7,57.5
2,57,Yes,4,6,33.6
1,79,Yes,9,4,54.8
4,99,No,7,1,83.4
8,49,Yes,6,9,43.7
2,97,No,7,6,76.8
3,81,Yes,8,9,62.8
1,44,Yes,7,3,18.7
1,49,Yes,7,3,25.7
3,89,No,8,7,72.9
5,60,Yes,8,5,48.8
3,63,Yes,6,8,43.8
1,77,Yes,4,1,50.4
1,42,Yes,8,4,19.3
8,79,No,6,5,74.9
2,70,Yes,7,7,57.1
3,80,No,7,3,61.2
2,76,No,9,6,58.7
3,41,Yes,5,6,21.0
7,41,Yes,8,3,34.0
1,78,No,6,0,55.0
8,88,No,9,2,85.2
2,81,No,6,1,60.3
3,83,Yes,4,2,65.4
9,73,Yes,9,4,74.2
7,81,No,6,0,72.3
4,59,No,8,4,43.0
5,72,No,6,1,56.7
2,43,Yes,5,3,22.3
8,84,Yes,7,5,84.2
4,83,No,7,8,65.9
9,50,Yes,9,9,51.3
5,81,No,6,5,68.0
9,86,Yes,6,9,83.8
4,44,No,6,1,26.4
5,64,Yes,6,7,51.6
9,88,Yes,5,4,83.9
8,99,Yes,8,8,96.3
3,76,Yes,5,9,58.4
1,73,Yes,5,8,51.6
3,48,Yes,5,3,23.9
4,45,Yes,7,0,27.8
2,57,No,5,8,31.4
1,53,No,6,8,27.5
7,58,No,5,7,48.0
8,53,Yes,6,4,48.8
7,79,Yes,9,4,74.3
5,56,Yes,8,9,46.3
1,99,No,7,5,77.5
7,74,No,8,0,72.4
7,68,No,9,8,61.3
9,81,No,8,4,79.3
3,56,No,7,6,37.9
9,98,No,6,7,98.0
1,82,Yes,9,4,63.4
1,47,No,9,2,24.1
4,40,Yes,6,5,21.8
9,84,No,6,6,80.5
6,92,No,7,3,82.6
3,75,Yes,5,8,57.2
1,46,Yes,4,3,24.1
4,85,Yes,5,9,69.7
9,44,No,5,1,36.6
3,63,No,8,8,43.5
9,67,Yes,4,3,67.3
7,82,No,6,3,72.6
4,56,Yes,5,9,44.8
3,76,No,7,0,56.2
5,59,No,5,1,42.4
5,42,No,6,2,24.1
3,76,Yes,5,6,55.0
9,65,No,9,8,65.4
4,54,Yes,8,4,35.1
5,90,Yes,8,3,79.0
4,87,Yes,5,1,73.5
5,47,Yes,8,6,36.3
7,52,Yes,7,5,48.3
9,87,Yes,4,6,86.7
7,42,Yes,5,7,34.4
5,40,Yes,7,8,26.6
7,48,Yes,9,9,44.5
5,70,No,7,4,55.2
3,80,Yes,7,4,61.3
7,93,No,9,3,85.1
2,65,Yes,6,2,43.0
9,56,No,5,6,55.7
1,95,No,5,4,69.1
6,73,No,5,6,60.3
7,48,No,4,1,40.5
8,95,No,7,8,88.8
9,90,No,5,8,86.4
2,52,Yes,8,8,35.7
2,44,Yes,6,4,21.4
5,80,Yes,9,9,68.1
5,52,Yes,9,8,41.4
6,40,Yes,4,0,23.8
3,64,Yes,9,1,44.6
8,86,No,6,9,78.7
1,43,Yes,7,4,17.9
6,75,No,9,4,67.8
4,91,No,9,5,81.6
1,49,No,8,7,27.2
7,67,No,7,0,58.0
9,96,No,5,9,89.7
4,45,No,6,8,30.1
4,66,Yes,9,3,52.1
6,95,No,8,7,86.3
3,51,No,6,4,36.1
6,91,Yes,4,0,84.1
7,87,Yes,8,8,83.8
3,42,Yes,4,7,24.3
7,85,Yes,9,4,83.1
3,72,Yes,8,3,57.1
2,49,Yes,5,7,25.4
4,70,Yes,6,8,51.8
8,54,No,6,6,49.3
9,46,Yes,7,3,39.5
7,75,No,8,6,66.6
1,53,Yes,8,5,31.2
3,95,Yes,4,2,73.8
9,87,No,8,9,88.7
1,53,Yes,6,2,28.7
9,42,Yes,8,0,42.5
8,88,Yes,7,4,82.9
1,92,Yes,7,7,72.8
6,85,Yes,6,5,71.2
5,89,Yes,6,7,81.0
6,42,Yes,6,6,32.2
5,61,No,8,1,51.0
6,58,Yes,8,7,43.4
5,74,No,5,3,57.8
5,51,No,9,4,36.6
4,93,No,9,7,78.6
3,44,No,4,4,21.7
3,49,No,8,4,30.7
4,80,No,5,5,69.3
9,72,No,5,6,71.3
2,52,Yes,7,8,32.7
9,74,Yes,8,6,74.8
1,90,Yes,5,5,67.8
1,71,No,7,9,49.1
5,50,Yes,4,3,32.1
6,87,No,7,9,76.0
6,77,No,4,1,65.8
3,63,Yes,9,8,46.9
7,74,No,9,9,67.7
9,58,No,6,4,60.9
8,45,Yes,6,4,39.7
6,79,No,7,2,65.9
8,93,Yes,6,2,85.3
5,84,No,8,0,68.4
8,83,No,7,4,78.0
4,81,Yes,5,2,61.7
8,74,Yes,8,1,67.3
2,43,Yes,7,8,23.8
5,72,No,9,9,61.8
9,52,No,4,5,48.7
4,95,Yes,6,2,77.7
6,75,Yes,6,6,62.3
1,93,Yes,6,8,68.1
9,82,No,7,8,80.3
1,58,No,8,0,32.8
5,82,Yes,4,1,64.6
4,51,Yes,6,7,37.4
3,50,Yes,8,0,30.7
6,45,No,5,2,32.3
2,51,Yes,9,6,35.2
3,66,Yes,5,7,45.4
5,80,Yes,4,4,66.3
9,64,No,6,1,57.9
2,81,No,5,2,59.0
8,42,Yes,9,8,42.7
2,42,No,8,9,22.0
5,59,Yes,8,6,51.4
7,67,Yes,5,0,60.3
8,62,Yes,6,2,58.1
1,87,Yes,9,8,67.1
6,42,No,4,6,27.6
1,81,Yes,6,1,57.0
2,63,Yes,7,5,40.3
1,82,No,5,8,60.8
5,79,Yes,7,3,65.2
9,45,No,5,9,43.6
6,59,Yes,4,1,47.9
1,50,Yes,6,2,24.8
1,71,Yes,9,6,54.1
2,99,Yes,6,3,82.3
9,66,No,5,6,60.9
3,60,Yes,8,4,48.6
1,83,No,7,7,64.3
5,87,No,9,7,72.6
7,89,No,9,4,77.4
6,52,Yes,6,6,42.1
1,61,No,6,5,36.7
5,74,No,5,7,58.3
5,86,No,8,8,74.6
6,61,Yes,7,4,48.0
3,67,Yes,8,6,53.6
5,60,No,9,0,50.7
7,85,No,8,7,78.8
5,57,Yes,5,2,42.8
5,70,No,8,0,58.4
5,99,No,7,5,91.3
3,85,No,9,7,68.4
1,76,Yes,4,2,51.1
5,60,No,9,0,50.6
9,53,No,4,2,47.3
1,64,Yes,7,4,40.6
3,66,No,9,7,49.6
4,79,Yes,9,8,62.5
1,99,Yes,9,8,78.4
1,99,Yes,9,3,78.3
8,62,No,5,7,54.9
2,70,No,6,4,47.2
8,86,No,9,2,84.0
7,99,No,5,4,92.3
2,68,No,7,1,43.1
6,86,No,9,5,76.2
6,69,No,8,0,63.2
3,90,No,9,5,77.5
2,65,Yes,9,4,41.9
1,59,No,4,8,33.0
6,77,No,8,6,69.3
5,58,Yes,9,5,48.6
9,66,No,9,6,66.5
1,64,Yes,9,9,46.3
7,79,No,5,4,67.2
5,77,No,7,0,63.1
5,91,Yes,4,8,76.2
2,62,Yes,9,4,43.2
3,68,No,7,3,46.7
7,54,Yes,4,5,43.7
6,98,No,4,4,84.3
2,42,No,4,0,17.3
6,49,No,9,1,40.1
2,54,No,5,3,28.4
2,95,No,9,7,78.3
2,55,No,9,4,38.1
3,56,Yes,7,6,35.9
2,58,Yes,6,1,37.9
4,50,Yes,6,7,33.1
9,87,No,6,4,86.3
6,44,Yes,7,3,30.8
1,44,No,8,8,19.1
8,97,Yes,7,5,91.9
7,53,No,4,3,43.4
3,89,No,9,7,74.6
1,65,No,8,2,42.7
5,47,No,4,9,30.4
4,44,No,9,1,28.7
8,46,Yes,9,6,45.4
1,55,No,4,3,26.7
1,94,Yes,7,3,68.7
4,53,No,6,9,37.7
8,76,No,8,8,72.1
5,95,No,9,1,83.1
2,80,Yes,5,0,55.3
6,43,No,9,6,31.8
5,75,Yes,6,7,61.6
2,87,No,9,2,66.4
3,95,Yes,5,1,73.1
9,56,Yes,7,3,51.9
7,86,Yes,9,1,87.9
7,75,No,8,1,69.7
6,45,No,7,4,32.1
8,55,Yes,5,9,48.2
4,68,No,4,4,49.9
8,75,No,9,7,71.0
4,77,No,7,8,59.2
8,76,Yes,9,1,74.3
9,87,Yes,8,0,85.4
3,96,No,9,2,80.7
3,87,Yes,7,5,73.8
2,49,No,6,4,26.5
3,80,No,7,7,63.1
3,75,Yes,5,7,56.1
5,68,Yes,7,1,54.8
5,53,No,8,8,41.8
2,43,No,7,3,20.6
6,83,No,7,0,68.6
5,95,Yes,8,1,83.9
6,81,Yes,7,5,71.5
1,75,No,8,4,50.8
5,89,No,5,6,76.4
9,84,Yes,8,8,87.7
2,52,No,5,5,26.4
1,85,Yes,5,5,62.4
9,57,Yes,8,1,54.3
9,72,No,7,6,74.1
9,60,No,9,1,62.4
6,55,Yes,6,6,46.9
8,54,No,9,7,56.5
1,93,Yes,8,0,69.5
4,96,Yes,7,8,72.1
1,44,Yes,5,7,17.7
8,45,No,4,8,38.4
1,77,No,6,4,54.9
3,42,No,9,3,23.7
4,87,Yes,7,0,75.9
8,51,Yes,6,8,49.0
6,75,Yes,4,3,63.2
7,72,Yes,4,3,64.1
8,75,No,4,3,66.7
2,72,No,9,1,56.4
8,70,No,8,3,68.4
3,60,Yes,6,1,40.1
7,66,Yes,8,7,58.9
3,66,No,4,6,44.9
7,47,Yes,7,9,40.9
2,95,No,4,1,75.3
6,76,Yes,8,1,70.5
3,71,Yes,4,1,49.5
3,65,Yes,4,0,43.7
9,41,Yes,8,5,38.3
7,51,Yes,8,5,41.4
5,61,No,7,0,48.2
7,56,No,8,0,46.0
9,46,No,7,5,45.4
1,82,Yes,5,5,58.2
7,43,No,5,3,30.5
6,76,No,8,2,63.4
9,77,Yes,4,8,73.7
1,71,Yes,6,5,49.5
4,50,No,4,0,33.3
9,40,No,8,2,38.2
4,64,No,7,0,48.6
3,81,No,4,2,59.1
9,91,No,5,1,85.4
2,63,Yes,9,4,41.0
4,92,No,8,2,80.2
6,82,No,4,6,63.8
2,95,No,9,7,79.6
8,56,No,4,6,49.9
8,47,No,7,1,36.6
1,98,No,7,9,74.3
3,84,Yes,7,9,63.9
9,66,Yes,9,6,65.4
5,91,Yes,6,9,78.2
6,57,No,9,2,48.5
4,66,No,8,6,48.4
2,61,Yes,8,0,43.4
8,55,No,5,1,45.1
6,41,No,5,9,30.0
5,44,No,8,0,30.8
9,57,Yes,4,8,50.6
1,42,Yes,8,1,18.6
5,66,Yes,6,1,52.2
6,93,No,5,5,86.1
5,56,Yes,5,6,39.9
6,55,Yes,9,1,45.0
6,45,Yes,5,3,35.8
7,90,No,8,2,85.1
4,46,Yes,5,4,30.5
8,89,Yes,5,8,80.5
7,53,No,9,1,41.9
9,77,Yes,8,4,76.0
7,79,No,4,7,69.1
3,54,No,5,5,35.3
3,86,Yes,5,3,66.7
8,86,Yes,5,9,75.8
5,87,Yes,6,7,73.8
4,72,No,8,2,53.5
8,82,Yes,5,3,76.6
6,66,Yes,6,8,53.9
2,68,Yes,4,4,46.5
4,96,No,4,5,78.4
4,76,No,9,1,60.4
6,44,No,9,8,38.1
6,68,Yes,9,7,63.6
1,71,Yes,6,6,47.2
8,99,No,4,8,99.3
6,92,Yes,9,4,90.3
3,45,Yes,7,4,26.8
9,41,No,9,8,34.7
2,45,No,4,4,20.7
8,85,No,7,8,86.2
3,82,Yes,6,0,63.2
5,43,Yes,7,9,31.9
6,95,Yes,4,9,86.5
6,68,No,5,7,61.6
4,98,No,7,2,81.8
3,64,Yes,4,7,49.1
4,48,No,9,4,33.5
1,95,No,5,1,67.5
4,42,Yes,6,8,25.6
1,65,No,6,3,39.2
1,87,Yes,8,6,64.7
6,82,No,6,7,68.6
5,66,Yes,8,6,49.9
4,75,No,6,5,55.5
3,71,Yes,6,6,56.3
1,40,No,6,3,15.5
6,96,No,8,9,91.2
2,92,No,9,0,73.3
8,93,No,8,4,89.7
5,55,No,7,7,40.1
7,90,Yes,4,9,82.7
2,87,Yes,4,5,62.6
8,50,Yes,9,4,46.2
2,65,No,4,1,42.7
4,79,Yes,6,9,66.8
1,94,No,9,4,77.0
5,40,No,4,9,22.8
9,65,Yes,8,2,60.0
1,67,Yes,7,1,42.4
9,92,No,5,2,85.8
8,97,No,7,3,96.0
6,48,Yes,4,1,34.4
7,99,Yes,9,3,95.0
3,98,No,4,3,80.2
1,83,No,8,5,59.6
5,61,Yes,7,4,51.6
2,47,No,8,6,29.1
5,97,No,8,6,86.4
8,88,Yes,5,2,82.6
9,81,Yes,8,8,80.7
2,66,No,8,6,44.0
3,78,No,5,6,57.2
3,58,Yes,6,1,42.5
1,64,No,6,9,44.2
8,77,Yes,9,2,75.3
6,60,No,5,2,46.1
8,63,Yes,9,5,62.4
9,63,No,9,3,62.9
5,99,No,8,3,89.4
3,99,No,9,0,80.9
5,58,Yes,4,5,45.5
5,89,Yes,7,7,75.5
5,86,Yes,4,7,72.4
3,41,No,4,7,16.4
4,53,No,8,4,38.4
9,92,Yes,7,9,91.8
9,71,Yes,9,5,72.4
2,81,No,7,4,59.5
8,71,No,9,3,71.3
8,67,No,6,3,58.2
7,87,No,5,3,74.1
8,78,Yes,8,3,75.6
3,79,Yes,9,5,64.0
6,81,No,9,5,75.5
1,86,No,7,4,61.9
7,79,No,8,8,74.0
1,52,Yes,9,7,29.3
9,51,Yes,6,9,48.6
1,47,No,4,5,16.9
1,54,No,9,8,35.7
7,65,No,7,4,51.7
2,51,No,6,9,26.7
5,82,No,8,3,67.7
8,90,No,9,5,85.2
8,85,Yes,6,3,82.7
3,66,Yes,6,7,45.9
7,57,Yes,6,6,50.5
3,84,No,6,4,70.1
6,75,No,6,9,69.7
6,88,No,6,5,77.9
3,90,Yes,5,6,70.4
7,66,No,8,1,59.5
3,48,Yes,4,8,28.3
8,94,No,8,6,89.6
4,78,No,7,7,61.3
1,40,No,7,4,14.7
4,46,Yes,8,2,27.9
7,65,Yes,6,1,55.4
4,46,Yes,5,1,30.8
6,91,No,4,2,80.8
9,46,Yes,9,0,44.9
1,47,No,9,0,22.5
5,55,No,6,6,41.2
7,42,Yes,8,9,34.5
1,84,Yes,9,7,60.6
4,49,No,8,5,32.8
6,89,No,5,6,77.9
2,46,No,5,0,23.2
5,60,No,8,0,46.8
1,92,Yes,6,8,68.9
6,76,Yes,6,4,67.8
6,70,Yes,6,6,62.7
4,62,No,9,5,46.8
8,96,No,4,3,91.2
4,66,No,4,0,48.3
8,95,Yes,6,3,91.0
8,61,No,8,9,55.0
5,78,No,5,9,67.6
4,96,Yes,7,7,81.3
2,66,Yes,5,0,42.3
3,93,No,5,1,72.1
3,88,Yes,7,7,69.8
4,43,No,6,1,24.1
4,63,Yes,5,9,47.1
5,62,No,7,8,46.9
4,87,Yes,9,2,75.7
8,58,Yes,8,2,54.0
6,81,Yes,8,5,73.7
6,42,Yes,8,2,28.6
8,66,No,6,8,58.7
7,42,No,5,7,30.3
8,67,Yes,5,3,60.6
2,56,No,4,5,29.4
9,70,Yes,8,7,67.5
1,49,Yes,6,3,23.2
8,88,No,7,4,84.9
4,61,No,6,6,43.6
4,69,No,5,7,49.9
5,88,No,8,6,75.2
8,60,No,4,7,49.2
5,75,No,9,3,63.9
8,92,No,6,0,89.7
1,62,Yes,4,5,32.2
9,77,No,5,4,69.5
6,51,Yes,7,3,39.1
3,64,No,6,1,43.3
8,93,No,9,0,85.1
9,96,Yes,5,8,95.4
6,59,Yes,8,1,53.0
7,88,Yes,6,8,82.3
1,88,Yes,4,5,64.0
5,81,No,6,5,68.2
5,46,No,5,1,33.0
4,68,Yes,5,5,49.0
6,87,Yes,4,2,74.2
7,68,No,9,6,63.0
9,52,No,5,9,48.2
1,42,Yes,6,3,21.2
6,41,No,9,8,34.1
7,55,No,4,4,41.8
3,69,Yes,5,9,49.6
8,77,Yes,5,2,72.7
5,45,Yes,6,0,27.3
9,84,Yes,5,0,84.6
5,46,No,6,3,29.7
9,44,Yes,8,9,43.3
4,95,No,9,9,80.3
